Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Macro ROC-AUC,Selected_For_Deployment
ResNet50,0.8363636363636363,0.7327935222672065,0.7116803710731604,0.714953583116276,0.8405410379094588,0.8363636363636363,0.8325919989314099,0.9063946497507263,Yes
DenseNet121,0.793939393939394,0.7063605930176949,0.7002811160306416,0.6932425803286731,0.8258510499543498,0.793939393939394,0.7966610921577808,0.9207919413488099,No
ResNet50_FineTuned,0.8424242424242424,0.6883468834688347,0.6615784665120529,0.6502057613168725,0.826459719142646,0.8424242424242424,0.8210250654695099,0.9472234026134144,No
EfficientNetB0,0.5151515151515151,0.6244557645419714,0.6251739405439595,0.49531666612103553,0.7858763972008486,0.5151515151515151,0.5663099561808599,0.9008985576228149,No
